Top pages,Clicks,Impressions,CTR,Position
https://jerusalemhills.com/hebrew-fonts.html,1,12,8.33%,45.83
https://jerusalemhills.com/sidur.html,1,11,9.09%,39.55
https://jerusalemhills.com/,0,37,0%,53.92
https://jerusalemhills.com/privacy-policy.html,0,8,0%,3.88
https://jerusalemhills.com/terms-of-service.html,0,8,0%,5.38
https://jerusalemhills.com/games/snake/snake.html,0,7,0%,6.86
https://jerusalemhills.com/forum/forum.html,0,6,0%,6.33
https://www.jerusalemhills.com/hebrew-fonts.html,0,4,0%,3
https://jerusalemhills.com/games/,0,4,0%,5.25
https://jerusalemhills.com/market/index.html,0,3,0%,10.33
https://jerusalemhills.com/games/tetris/tetris.html,0,2,0%,3
https://jerusalemhills.com/forum/,0,1,0%,2
https://jerusalemhills.com/marketplace.html,0,1,0%,4